historial_crediticio,nivel_endeudamiento,ingresos_mensuales,edad,tipo_empleo,aprobacion
Bueno,0.75,1546008,33,Temporal,No
Bueno,0.75,2940121,52,Dependiente,Sí
Bueno,0.2,1512189,20,Dependiente,No
Malo,0.35,1298622,36,Dependiente,Sí
Bueno,0.75,1367543,21,Temporal,Sí
Bueno,0.75,1366459,47,Temporal,No
Malo,0.55,1676968,60,Dependiente,No
Malo,0.75,1518522,58,Temporal,Sí
Regular,0.75,2461312,42,Dependiente,Sí
Bueno,0.75,4745640,36,Temporal,Sí
Bueno,0.55,1649367,20,Temporal,No
Excelente,0.75,3414219,40,Dependiente,No
Excelente,0.2,2340368,32,Temporal,No
Bueno,0.75,2274607,23,Dependiente,No
Excelente,0.2,1424015,36,Temporal,No
Malo,0.35,1594973,31,Dependiente,No
Regular,0.2,1253129,32,Dependiente,Sí
Bueno,0.2,1348634,45,Dependiente,Sí
Bueno,0.75,1562167,30,Dependiente,No
Excelente,0.75,1573124,34,Temporal,No
Bueno,0.75,1315313,28,Dependiente,No
Bueno,0.75,1288985,23,Dependiente,Sí
Excelente,0.75,3191168,22,Dependiente,Sí
Malo,0.55,1468233,74,Dependiente,Sí
Bueno,0.75,2309977,50,Dependiente,No
Bueno,0.75,1761720,33,Dependiente,Sí
Bueno,0.75,3042710,45,Dependiente,Sí
Bueno,0.75,1669533,22,Dependiente,No
Bueno,0.2,3503009,48,Temporal,No
Bueno,0.75,4816263,29,Dependiente,Sí
Excelente,0.2,1306286,22,Dependiente,Sí
Regular,0.75,2569217,22,Dependiente,No
Excelente,0.35,2881308,48,Dependiente,Sí
Regular,0.35,1591616,27,Dependiente,Sí
Malo,0.2,1559940,37,Dependiente,Sí
Bueno,0.35,2928681,21,Dependiente,No
Bueno,0.75,2172737,49,Temporal,Sí
Malo,0.35,1583865,27,Dependiente,Sí
Malo,0.55,1472154,32,Dependiente,No
Bueno,0.75,2055708,38,Dependiente,No
Bueno,0.75,1738385,22,Dependiente,Sí
Bueno,0.75,2003731,65,Dependiente,No
Bueno,0.75,2464044,35,Dependiente,Sí
Bueno,0.35,1801295,41,Dependiente,Sí
Excelente,0.35,3131105,29,Dependiente,No
Malo,0.75,2555024,36,Dependiente,Sí
Bueno,0.2,2254386,64,Temporal,Sí
Bueno,0.35,2127354,28,Dependiente,Sí
Excelente,0.75,2363768,44,Dependiente,No
Bueno,0.75,2154140,23,Dependiente,Sí
Bueno,0.35,1797160,19,Dependiente,No
Bueno,0.55,1272357,25,Temporal,No
Bueno,0.75,2137963,47,Dependiente,Sí
Bueno,0.75,3628818,28,Dependiente,Sí
Regular,0.35,1666732,21,Dependiente,Sí
Bueno,0.75,1472515,34,Dependiente,Sí
Regular,0.55,1859516,26,Dependiente,No
Bueno,0.75,1103483,27,Temporal,No
Bueno,0.75,1942443,38,Temporal,Sí
Bueno,0.55,2096027,40,Dependiente,No
Malo,0.75,1788321,33,Dependiente,Sí
Malo,0.75,1491259,32,Dependiente,Sí
Regular,0.75,2694001,27,Dependiente,No
Excelente,0.35,1971670,32,Dependiente,Sí
Bueno,0.35,3518653,26,Dependiente,No
Bueno,0.75,2448514,38,Dependiente,No
Bueno,0.75,1847974,40,Temporal,No
Bueno,0.75,1444296,50,Dependiente,Sí
Bueno,0.75,1898238,37,Temporal,No
Bueno,0.75,2355472,45,Dependiente,No
Regular,0.35,3412338,42,Dependiente,No
Malo,0.75,1937273,35,Dependiente,Sí
Bueno,0.2,1229268,22,Dependiente,Sí
Bueno,0.75,1882690,41,Temporal,No
Bueno,0.75,2249085,37,Dependiente,Sí
Excelente,0.35,2039692,28,Dependiente,Sí
Malo,0.35,2330414,41,Dependiente,Sí
Bueno,0.55,1662925,23,Dependiente,Sí
Bueno,0.75,2979772,23,Dependiente,No
Bueno,0.75,2385008,50,Dependiente,Sí
Regular,0.75,1357555,35,Dependiente,Sí
Malo,0.35,1332317,50,Temporal,Sí
Malo,0.75,1258845,27,Dependiente,Sí
Excelente,0.75,4114894,34,Dependiente,Sí
Excelente,0.2,1408885,27,Dependiente,Sí
Malo,0.55,1731044,43,Dependiente,No
Malo,0.75,1884748,47,Dependiente,Sí
Malo,0.55,2042723,27,Temporal,Sí
Bueno,0.35,3361018,31,Dependiente,Sí
Bueno,0.35,1565164,42,Dependiente,Sí
Malo,0.2,3286767,24,Dependiente,Sí
Regular,0.75,2959815,41,Temporal,No
Malo,0.75,2724801,26,Dependiente,Sí
Malo,0.75,1614780,33,Dependiente,Sí
Bueno,0.35,2356997,24,Dependiente,No
Bueno,0.75,2952373,64,Temporal,Sí
Bueno,0.55,2208901,26,Dependiente,Sí
Bueno,0.2,2149084,56,Dependiente,Sí
Bueno,0.75,1886854,37,Dependiente,Sí
Regular,0.75,1422153,33,Dependiente,Sí
Malo,0.55,1965774,47,Dependiente,Sí
Regular,0.2,3411239,31,Temporal,Sí
Bueno,0.75,2335144,34,Dependiente,Sí
Malo,0.75,2593160,27,Dependiente,Sí
Regular,0.75,2630364,30,Dependiente,Sí
Bueno,0.55,3452748,35,Dependiente,Sí
Bueno,0.2,3967609,31,Dependiente,Sí
Malo,0.35,1620783,25,Dependiente,Sí
Bueno,0.55,2395611,25,Temporal,Sí
Bueno,0.35,2385121,29,Dependiente,Sí
Malo,0.2,1770433,44,Temporal,Sí
Bueno,0.75,1484216,28,Dependiente,Sí
Bueno,0.35,3415930,50,Dependiente,Sí
Bueno,0.75,1732741,29,Dependiente,Sí
Malo,0.2,1760048,38,Temporal,Sí
Malo,0.75,1400671,24,Dependiente,Sí
Bueno,0.75,2190578,40,Dependiente,Sí
Bueno,0.75,3298884,29,Temporal,No
Malo,0.75,1520844,46,Dependiente,No
Bueno,0.75,2725495,47,Dependiente,Sí
Regular,0.75,2385816,41,Dependiente,Sí
Bueno,0.75,1218268,32,Dependiente,Sí
Bueno,0.2,4781928,35,Dependiente,Sí
Bueno,0.55,2476424,24,Dependiente,No
Excelente,0.75,2140194,25,Dependiente,No
Bueno,0.75,1837239,25,Dependiente,Sí
Bueno,0.35,2085953,37,Temporal,Sí
Malo,0.75,4368410,32,Dependiente,Sí
Excelente,0.75,2369196,35,Dependiente,No
Bueno,0.75,2648837,46,Dependiente,Sí
Malo,0.75,1735393,25,Temporal,Sí
Bueno,0.75,1818881,27,Dependiente,No
Malo,0.2,3473152,63,Dependiente,Sí
Malo,0.55,3295114,40,Dependiente,Sí
Bueno,0.75,2454534,32,Dependiente,Sí
Malo,0.55,1686445,31,Dependiente,Sí
Excelente,0.55,3387857,31,Dependiente,Sí
Excelente,0.75,2298850,34,Dependiente,No
Excelente,0.75,3755428,24,Dependiente,No
Bueno,0.75,1286445,24,Temporal,No
Bueno,0.75,3611680,66,Temporal,Sí
Bueno,0.55,1946815,21,Dependiente,No
Malo,0.35,5604571,41,Temporal,Sí
Malo,0.35,2709658,47,Temporal,Sí
Bueno,0.75,2233847,25,Dependiente,No
Excelente,0.75,1754538,59,Dependiente,No
Malo,0.35,3909139,36,Dependiente,Sí
Regular,0.2,1342868,33,Dependiente,Sí
Bueno,0.35,2258947,21,Temporal,No
Bueno,0.75,2271232,44,Temporal,Sí
Bueno,0.35,4807663,28,Dependiente,Sí
Malo,0.2,1833127,37,Dependiente,Sí
Excelente,0.55,2675010,29,Temporal,Sí
Bueno,0.2,1710178,23,Dependiente,No
Bueno,0.55,2943239,35,Temporal,Sí
Malo,0.2,1947962,45,Dependiente,Sí
Excelente,0.75,2327722,26,Temporal,No
Excelente,0.35,2692526,32,Dependiente,Sí
Excelente,0.75,1591791,23,Temporal,Sí
Bueno,0.75,3145696,41,Dependiente,Sí
Excelente,0.75,3254080,22,Dependiente,Sí
Malo,0.75,2033150,30,Dependiente,Sí
Malo,0.55,2250974,28,Temporal,Sí
Bueno,0.2,1529152,23,Dependiente,Sí
Bueno,0.55,1811287,37,Temporal,No
Bueno,0.2,2859708,26,Dependiente,Sí
Bueno,0.35,2212660,33,Dependiente,Sí
Bueno,0.35,1622360,49,Dependiente,Sí
Bueno,0.2,2300692,23,Temporal,No
Bueno,0.35,2946670,23,Temporal,Sí
Malo,0.75,1798915,25,Dependiente,Sí
Regular,0.75,4617816,55,Dependiente,No
Bueno,0.75,2960141,32,Dependiente,No
Malo,0.2,2006094,74,Temporal,Sí
Malo,0.55,2300191,39,Dependiente,No
Bueno,0.35,2362060,31,Dependiente,Sí
Malo,0.75,2670211,35,Dependiente,No
Malo,0.2,2073014,59,Dependiente,Sí
Malo,0.75,1605238,24,Dependiente,No
Bueno,0.75,1523035,24,Temporal,Sí
Malo,0.75,3139103,30,Dependiente,No
Malo,0.75,2031639,27,Dependiente,Sí
Bueno,0.55,2329027,40,Temporal,Sí
Bueno,0.35,2081636,31,Temporal,No
Bueno,0.2,2674391,31,Dependiente,Sí
Malo,0.2,1973647,28,Dependiente,Sí
Malo,0.35,2721161,63,Temporal,Sí
Bueno,0.35,1999137,26,Dependiente,Sí
Malo,0.55,2300387,25,Dependiente,No
Malo,0.2,1638882,36,Dependiente,Sí
Malo,0.75,2827442,52,Dependiente,Sí
Malo,0.35,3326348,66,Temporal,Sí
Bueno,0.75,1724876,25,Dependiente,No
Malo,0.75,1647829,37,Dependiente,Sí
Bueno,0.75,2352821,25,Dependiente,Sí
Malo,0.75,6360109,38,Dependiente,Sí
Bueno,0.35,1830142,67,Dependiente,Sí
Malo,0.35,2312346,25,Dependiente,No
Malo,0.75,5828173,60,Dependiente,Sí
Excelente,0.35,1527338,31,Temporal,Sí
Bueno,0.75,2169775,23,Temporal,No
Bueno,0.2,1595156,60,Dependiente,Sí
Bueno,0.75,5771126,35,Temporal,Sí
Bueno,0.55,4050105,40,Dependiente,Sí
Malo,0.75,2521532,38,Dependiente,Sí
Regular,0.75,2160729,50,Dependiente,No
Malo,0.75,2431468,27,Dependiente,No
Bueno,0.35,1679228,39,Dependiente,No
Bueno,0.55,2855213,41,Dependiente,Sí
Malo,0.2,2258833,27,Dependiente,Sí
Bueno,0.55,2393868,51,Dependiente,Sí
Bueno,0.75,3032598,32,Dependiente,Sí
Bueno,0.35,2869924,22,Dependiente,Sí
Bueno,0.2,3477812,51,Dependiente,No
Malo,0.35,1837939,22,Temporal,Sí
Regular,0.75,3053971,54,Dependiente,Sí
Bueno,0.75,2739561,35,Temporal,Sí
Malo,0.75,2543292,54,Dependiente,Sí
Malo,0.55,1677960,48,Temporal,Sí
Malo,0.2,2339009,24,Dependiente,Sí
Malo,0.75,2892087,35,Dependiente,Sí
Bueno,0.2,1922576,24,Temporal,Sí
Bueno,0.35,2373115,24,Dependiente,No
Bueno,0.55,2293943,26,Temporal,Sí
Malo,0.75,3466023,65,Dependiente,Sí
Excelente,0.2,1607482,55,Dependiente,Sí
Excelente,0.35,1279848,26,Temporal,No
Bueno,0.55,2356278,26,Dependiente,Sí
Bueno,0.55,2519624,28,Temporal,Sí
Malo,0.75,1498267,24,Dependiente,No
Bueno,0.55,2397094,54,Dependiente,No
Bueno,0.75,2563951,46,Dependiente,No
Regular,0.35,1874489,54,Dependiente,Sí
Bueno,0.2,3386913,62,Dependiente,Sí
Malo,0.2,1890573,24,Dependiente,Sí
Bueno,0.35,1144071,43,Dependiente,Sí
Bueno,0.75,1635756,26,Dependiente,No
Bueno,0.55,2243709,27,Dependiente,Sí
Bueno,0.55,1206021,24,Dependiente,Sí
Bueno,0.35,1960258,41,Dependiente,No
Malo,0.75,2061143,47,Temporal,Sí
Malo,0.55,1803683,35,Dependiente,Sí
Malo,0.75,2874974,30,Dependiente,Sí
Malo,0.2,1980299,33,Dependiente,No
Excelente,0.35,1651039,36,Dependiente,No
Bueno,0.55,3127502,47,Dependiente,No
Regular,0.75,2178326,38,Dependiente,Sí
Regular,0.75,2836907,44,Dependiente,Sí
Bueno,0.75,1698762,23,Dependiente,No
Excelente,0.35,1659736,29,Dependiente,No
Bueno,0.35,2117496,42,Dependiente,Sí
Bueno,0.35,1755484,25,Temporal,No
Excelente,0.75,1744603,48,Dependiente,No
Bueno,0.75,2872268,21,Dependiente,Sí
Bueno,0.2,1587556,23,Temporal,Sí
Malo,0.75,2345717,63,Dependiente,Sí
Malo,0.75,2426332,46,Dependiente,Sí
Bueno,0.75,1338725,29,Dependiente,No
Regular,0.55,2062598,28,Temporal,Sí
Bueno,0.75,1359874,23,Dependiente,No
Excelente,0.75,2694330,50,Dependiente,Sí
Bueno,0.75,1671913,47,Dependiente,Sí
Bueno,0.35,2334129,35,Dependiente,Sí
Bueno,0.35,1628024,68,Dependiente,No
Bueno,0.75,2371139,28,Dependiente,Sí
Bueno,0.55,2038138,59,Dependiente,Sí
Bueno,0.75,2368800,57,Temporal,No
Malo,0.75,1287199,33,Dependiente,No
Malo,0.55,2887434,43,Dependiente,Sí
Malo,0.75,1472877,35,Dependiente,Sí
Excelente,0.75,2604217,32,Temporal,No
Regular,0.35,1760017,45,Dependiente,Sí
Bueno,0.75,1963614,33,Dependiente,Sí
Bueno,0.75,1710306,40,Dependiente,Sí
Malo,0.75,1813687,28,Dependiente,Sí
Bueno,0.55,1934293,29,Dependiente,No
Bueno,0.2,1891992,26,Dependiente,Sí
Malo,0.75,5438819,27,Dependiente,Sí
Regular,0.75,1789275,28,Dependiente,No
Bueno,0.75,1787621,35,Dependiente,No
Malo,0.75,4371811,32,Temporal,Sí
Bueno,0.35,1720991,25,Temporal,No
Bueno,0.35,3339460,20,Dependiente,Sí
Bueno,0.75,1331721,27,Dependiente,Sí
Malo,0.35,1723807,42,Dependiente,Sí
Bueno,0.55,3351214,37,Dependiente,Sí
Bueno,0.75,2915940,24,Dependiente,Sí
Regular,0.35,3365960,40,Dependiente,Sí
Malo,0.2,1862361,46,Dependiente,Sí
Malo,0.75,2971759,26,Dependiente,Sí
Bueno,0.75,2007446,24,Dependiente,Sí
Bueno,0.35,1233002,29,Temporal,Sí
Malo,0.75,3890381,40,Dependiente,Sí
Excelente,0.55,2024225,36,Dependiente,Sí
Bueno,0.75,2467921,28,Dependiente,Sí
Bueno,0.55,1173463,27,Dependiente,No
Malo,0.35,2016254,36,Dependiente,Sí
Bueno,0.55,1650436,38,Dependiente,Sí
Bueno,0.35,2507839,48,Dependiente,Sí
Malo,0.75,1835478,36,Dependiente,Sí
Malo,0.75,1201807,65,Temporal,Sí
Bueno,0.55,2463880,43,Dependiente,No
Bueno,0.75,1360502,53,Dependiente,No
Malo,0.75,2727031,34,Dependiente,Sí
Bueno,0.35,1509637,23,Dependiente,No
Malo,0.75,1595128,34,Dependiente,Sí
Excelente,0.55,1771520,40,Dependiente,Sí
Malo,0.75,2566736,43,Dependiente,Sí
Malo,0.75,2774886,46,Dependiente,Sí
Malo,0.75,2279285,38,Temporal,Sí
Malo,0.55,1716338,34,Dependiente,Sí
Malo,0.75,2502127,29,Dependiente,Sí
Regular,0.55,1988224,31,Dependiente,Sí
Bueno,0.75,1502037,28,Dependiente,Sí
Malo,0.55,6314923,35,Dependiente,Sí
Bueno,0.2,1671453,33,Temporal,Sí
Bueno,0.35,1311161,42,Dependiente,No
Malo,0.35,1764302,43,Dependiente,No
Malo,0.35,1462808,44,Dependiente,Sí
Malo,0.35,2126583,42,Dependiente,Sí
Bueno,0.75,2374562,40,Dependiente,Sí
Bueno,0.75,2097422,36,Dependiente,Sí
Bueno,0.35,2360473,20,Dependiente,Sí
Bueno,0.35,2998781,24,Temporal,Sí
Bueno,0.35,2012726,27,Dependiente,Sí
Regular,0.2,1460387,46,Temporal,Sí
Bueno,0.2,2069538,33,Temporal,Sí
Regular,0.75,1967383,34,Dependiente,Sí
Malo,0.35,1471058,25,Temporal,No
Bueno,0.35,2923468,25,Dependiente,Sí
Bueno,0.2,5428234,28,Dependiente,Sí
Excelente,0.75,1917661,31,Dependiente,No
Excelente,0.2,1766964,32,Dependiente,No
Bueno,0.2,2212252,32,Dependiente,Sí
Bueno,0.2,2919587,68,Dependiente,No
Bueno,0.2,2582143,33,Dependiente,No
Bueno,0.75,1658576,39,Dependiente,No
Malo,0.75,2329008,28,Dependiente,Sí
Regular,0.75,3554261,37,Dependiente,Sí
Bueno,0.55,2244772,22,Dependiente,No
Bueno,0.55,2463793,30,Dependiente,Sí
Excelente,0.35,1665138,55,Dependiente,No
Excelente,0.75,1167749,46,Dependiente,No
Malo,0.75,1471816,21,Dependiente,Sí
Bueno,0.75,2094536,39,Dependiente,No
Bueno,0.75,2940260,58,Dependiente,Sí
Regular,0.75,1535253,43,Temporal,Sí
Bueno,0.75,1312104,24,Temporal,Sí
Bueno,0.75,2171138,22,Dependiente,No
Malo,0.55,2479722,30,Dependiente,Sí
Malo,0.75,3946242,42,Dependiente,Sí
Bueno,0.75,1423183,23,Dependiente,Sí
Regular,0.75,2072168,30,Dependiente,No
Bueno,0.55,1223907,28,Temporal,No
Bueno,0.75,2269159,30,Dependiente,Sí
Bueno,0.75,1353076,42,Dependiente,No
Malo,0.35,2364774,46,Dependiente,Sí
Bueno,0.35,1815528,45,Dependiente,Sí
Bueno,0.55,1920431,31,Temporal,Sí
Bueno,0.75,2724843,31,Dependiente,Sí
Malo,0.35,2506530,42,Temporal,Sí
Bueno,0.75,1394930,46,Dependiente,Sí
Excelente,0.2,2390669,30,Dependiente,Sí
Excelente,0.75,2570062,30,Dependiente,No
Bueno,0.75,2565025,38,Dependiente,Sí
Bueno,0.75,2219254,43,Temporal,No
Bueno,0.35,3163654,31,Dependiente,No
Malo,0.55,1782604,40,Temporal,Sí
Regular,0.35,2271002,24,Dependiente,No
Bueno,0.55,2624904,28,Dependiente,No
Bueno,0.75,2149861,26,Dependiente,No
Bueno,0.75,1744401,29,Dependiente,Sí
Malo,0.75,5349415,57,Dependiente,Sí
Malo,0.75,2734051,49,Temporal,Sí
Malo,0.35,1513266,37,Temporal,Sí
Bueno,0.55,1416168,45,Temporal,No
Bueno,0.75,3399896,30,Dependiente,Sí
Malo,0.35,1569165,30,Dependiente,Sí
Regular,0.2,1984097,47,Dependiente,Sí
Bueno,0.55,1868023,29,Dependiente,Sí
Bueno,0.55,3700732,35,Dependiente,No
Bueno,0.55,1496536,22,Temporal,Sí
Bueno,0.75,2033509,26,Dependiente,Sí
Malo,0.75,3578568,23,Temporal,No
Bueno,0.75,1903509,54,Dependiente,Sí
Bueno,0.35,2584567,29,Dependiente,Sí
Malo,0.2,1818865,40,Temporal,Sí
Bueno,0.75,2729139,22,Dependiente,Sí
Bueno,0.2,2417878,43,Temporal,Sí
Excelente,0.2,1937109,29,Temporal,No
Bueno,0.75,1775306,36,Dependiente,No
Malo,0.75,1240538,33,Dependiente,Sí
Bueno,0.55,2893396,57,Temporal,Sí
Bueno,0.35,1973601,64,Dependiente,Sí
Regular,0.75,1892566,42,Dependiente,Sí
Regular,0.75,2214331,47,Temporal,No
Excelente,0.35,2635579,25,Dependiente,No
Malo,0.35,1797968,49,Dependiente,No
Bueno,0.55,1981967,33,Dependiente,No
Bueno,0.2,1949237,28,Dependiente,Sí
Bueno,0.35,1297679,26,Dependiente,No
Malo,0.35,2361309,30,Temporal,Sí
Malo,0.75,1844138,25,Dependiente,Sí
Excelente,0.35,1990176,33,Dependiente,Sí
Bueno,0.35,2167882,64,Dependiente,Sí
Bueno,0.75,1368290,29,Dependiente,Sí
Malo,0.75,2717799,48,Temporal,Sí
Malo,0.35,2564167,37,Temporal,Sí
Excelente,0.75,3327090,34,Temporal,Sí
Bueno,0.35,2099039,23,Temporal,Sí
Bueno,0.75,1770569,30,Dependiente,Sí
Bueno,0.75,2449753,50,Dependiente,Sí
Bueno,0.55,1450962,31,Temporal,Sí
Bueno,0.75,2392507,40,Dependiente,Sí
Bueno,0.75,1653437,38,Dependiente,Sí
Bueno,0.75,2435308,23,Dependiente,No
Malo,0.55,2181967,27,Dependiente,Sí
